ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,hide,hide,hide,,hide,前面路上还有一些碎石，你摔了个狗啃泥,夜路3,平静小曲,额啊啊,,
1001,hide,,,,,刚刚创飞的东西不见了,夜路,,,,
1002,Me,hide,hide,hide,hide,我****，我要上报工伤,夜路,,,,
1003,Me,,,,,这公司倒是还有点良心，这要是不算工伤，我直接跳槽了,病房,gbc小曲,,,
1004,hide,,,,,"扑街之后我忍着痛打电话给了交警，有车给我送到了医院，这边出具的伤情
鉴定说我手脚骨折要住院观察，希望能好快点吧",,,,,
1005,hide,,,,,1899/12/31 13:01:00,,,,,
1006,hide,,,,,......,,,,,
1007,hide,,,,,............,,,,,
1008,hide,,,,,........................,,,,,
1009,Me,,,,,好无聊啊,,,,,
1010,Me,,,,,我按下呼叫护士的按钮,,,,,
1011,护士,,,,,请问有什么可以帮到您的吗？,,,,,
1012,Me,,,,,我想起来走走,,,,,
1013,护士,,,,,........................,,,,,
1014,hide,,,,,如此这般，我感觉到护士那头不想让我出病房了,,,,,
1015,hide,,,,,但我这么健康的身体哪用顾虑这么多，区区手脚骨折,,,,,
1016,hide,,,,,口头答应完会老老实实待着后，我悄悄溜出了病房,,,,,
1017,hide,,,,,我拖着健康的身体(雾)到了走廊,走廊,,,,
1018,hide,,,,,虽然有自由的灵魂，但确实察觉到手脚不便后，我便坐在走廊的长椅上,,,,,
1019,hide,,,,,"我打开手机随便翻看，视线没有聚焦在那些滚动的文字上，本来
也没想看，但是这个习惯会让我感到安心",,,,,
1020,hide,,,小妍_normal,,我回过神来，余光瞥见有个瘦小的身影坐在旁边,,,,,
1021,hide,,,小妍_normal,,"发型感觉是我学生时代经常见到的蘑菇头，到刚才为止她的视线应该还
在我手机上",,,,,
1022,hide,,,小妍_doubt,,几乎是在我发现她的同时，她把视线移开了,,,,,
1023,hide,,,,,没想到住院会碰到这种小朋友，我便打算逗逗她,,,,,
1024,BMe,,,,,小朋友，你几岁了呀,,,,,
1025,B？？？,,,小妍_normal,,......,,,,,
1026,hide,,,小妍_doubt,,除了往这边稍微看了一下她再就没有动作了,,,,,
1027,hide,,,,,沉默......,,,,,
1028,hide,,,,,我看起来像什么可疑的大叔吗，二十几岁的人就被小孩嫌弃了？！,,,雷声,,
1029,hide,,,,,很好，有趣的女孩，你成功吸引了我的注意,,,,,
1030,hide,,,,,哼哼哼，就让我用火热的语言撬开你的心之壁吧,,,,,
1031,hide,,,,,突然想起来，裤兜里好像有死党同事前两天结婚给的喜糖,,,,,
1032,hide,,,,,"“哄小孩就要用糖果”,不由得想起这句话",,,,,
1033,hide,,,,,虽然不知道这孩子为什么住院，但希望这颗糖能帮她带来幸运吧,,,,,
1034,hide,,,,,信奉唯物主义的家伙有时也愿意相信这种东西,,,,,
1035,BMe,,,,,你想要吃糖吗，哥哥这里有糖哦,,,,,
1036,hide,,,,,那么，会有什么反应呢,,,,,
1037,hide,,,小妍_angry,,她眼睛好像闪动了一下，显然是对糖果起反应了,,,,,
1038,hide,,,hide,,为了诱导她回话，我把糖果凑到她的眼前晃了晃,,,,,
1039,hide,,,小妍_angry,,......,,,,,
1040,hide,,,hide,,这颗糖果现在被死盯着,,,,,
1041,B？？？,,,小妍_normal,,医生叔叔说...不能吃糖......,,,,,
1042,BMe,,,hide,,为什么呀,,,,,
1043,B？？？,,,小妍_normal,,他说，我有一型糖尿病......,,,,,
1044,hide,,,hide,,糖尿病吗，从高中出来后就很少听过了,,,,,
1045,hide,,,,,疾病这种东西，不降临到自己身上总是难以感同身受,,,,,
1046,hide,,,hide,,在我的软磨硬泡之下，她还是把糖收好了,,,,,
1047,hide,,,,,看着她带着糖果溜回病房，我不由感概这孩子还是挺可爱的,,,,,
,hide,,,,,可惜连名字都没问出来,,,,,
,hide,,,,,"不知道还会不会再见面，但病房离得挺近，总之之后的住院生活
跟她好好相处吧",,,,,
,hide,,,,,,,,,"choice(进入第一章|loadScript(第一章1,1000))",
