ID,Speaker,HeadProfile,CharLeft,CharMid,CharRight,Text,Background,BGM,Voice,Command,Note
1000,hide,hide,hide,hide,hide,外面在下雨...,病房,平静小曲,,,下雨粒子特效
1001,hide,,,,,淅沥淅沥......,,,,,
1002,hide,,,,,悠然惬意的日子吗,,,,,
1003,hide,,,,,工作了一年，好像很久没发过呆了,,,,,
1004,hide,,,,,平淡日常中的意外也有让人惊喜的地方呢,,,,,
1005,hide,,,,,害，如果能一直带薪休假就好了,,,,,
1006,hide,,,,,我是不是好久都没看手机消息了,,,,,
1007,hide,,,,,打开手机看一眼吧,,,,,
1008,同事,,,,,"""你身体咋样了""",,,,,
1009,同事,,,,,"""好好休息""",,,,,
1010,同事,,,,,"""？还活着吗""",,,,,
1011,hide,,,,,我靠，两天没回他消息了,,,,,
1012,hide,,,,,"""还活着，恢复得比想象中快，应该过几天就出院了""",,,,,
1013,hide,,,,,放下手机,,,,,
1014,hide,,,,,嘟~嘟~,,,,,
1015,hide,,,,,居然打电话过来了,,,,,
1016,同事,,,,,你在哪个医院，我有时间来看看你,,,,,
1017,Me,,,,,人民医院，探望不用带东西,,,,,
1018,Me,,,,,额，你还是带点零食来吧,,,,,
1019,同事,,,,,你真的虚到两天看不了手机吗,,,,,
1020,Me,,,,,私密马赛，我错了,,,,,
1021,同事,,,,,行吧，我明天下班再来，你保重,,,,,
1022,hide,,,,,......,,,,,
1023,hide,,,,,原来还是有人在意我的，谢谢你，同事哥,,,,,
1024,hide,,,,,外面的雨还在下，这季节...,,,,,
1025,hide,,,,,按下按钮......,,,,,
1026,护士,,,,,请问有什么可以帮到您的吗,,,,,
1027,Me,,,,,我有点无聊，能陪我聊会天吗,,,,,
1028,护士,,,,,要聊什么呢~,,,,,
1029,Me,,,,,那聊一会小妍吧,,,,,
1030,护士,,,,,护士不能透露病患信息哦,,,,,
1031,Me,,,,,医院里的小孩不多吧，平常会有人陪她玩吗,,,,,
1032,护士,,,,,不能透露哦,,,,,
1033,hide,,,,,油盐不进啊，毕竟这也是她的职责,,,,,
1034,Me,,,,,为什么她能吃我给的糖了？,,,,,
1035,护士,,,,,嗯~为什么呢~,,,,,
1036,护士,,,,,可能是因为神的旨意吧~,,,,,
1037,hide,,,,,那个猎奇神明不会给她催眠了吧...想象不出下达旨意的场景啊,,,,,
1038,护士,,,,,......,,,,,
1039,Me,,,,,那我不打扰你了，工作加油~,,,,,
1040,hide,,,,,悄悄去看看小妍...,走廊,,,,
1041,hide,,,,,敲门,,,,,
1042,hide,,,,,,病房,,,,
1043,小妍,,,小妍_normal,,护士姐姐？,,,,,
1044,Me,,,hide,,咦嘻嘻，是哥哥我口牙,,,,,
1045,小妍,,,小妍_doubt,,......,,,,,
1046,Me,,,hide,,Oioioi，你那是什么表情,,,,,
1047,小妍,,,小妍_smile,,原来会有这么不严肃的大人~,,,,,
1048,Me,,,hide,,真是被看扁了啊...,,,,,
1049,小妍,,,小妍_normal,,......,,,,,
1050,Me,,,小妍_angry,,盯~,,,,,
1051,小妍,,,小妍_angry,,你盯着我干嘛,,,,,
1052,Me,,,,,不知道,,,,,
1053,小妍,,,小妍_doubt,,......,,,,,
1054,小妍,,,小妍_worry,,叔叔你不会是没朋友吧...,,,,,
1055,Me,,,hide,,你怎么知...等等，我才没有到当叔叔的年龄啊！,,,,,
1056,小妍,,,小妍_smile,,真是没办法，我可以当你的朋友哦~,,,,,
1057,hide,,,hide,,可恶，怎么被小孩耍得团团转,,,,,
1058,Me,,,,,我才没有不想要你当我朋友呢,,,,,
1059,小妍,,,小妍_smile,,噗~,,,,,
1060,hide,,,hide,,可恶啊，这样下去我不会变得不想出院了吧,,,,,
1061,hide,,,,,,,,,"choice(进入第四章|loadScript(第四章,1000))",
1062,,,,,,,,,,,
1063,,,,,,,,,,,
1064,,,,,,,,,,,
1065,,,,,,,,,,,
1066,,,,,,,,,,,
1067,,,,,,,,,,,
1068,,,,,,,,,,,
1069,,,,,,,,,,,
1070,,,,,,,,,,,
1071,,,,,,,,,,,
1072,,,,,,,,,,,
1073,,,,,,,,,,,
1074,,,,,,,"小妍的话情况比较特殊，她是长时间住院的小朋友，一般住院的其他
小朋友会玩到一起，然后陆续出院，但小妍现在得一直待在这里",,,,
1075,,,,,,,这孩子本来也不爱说话，平常就没见到她跟其他小朋友待在一块呢~,,,,
1076,,,,,,,你是说她看起来是孤独的,,,,
1077,,,,,,,我平常也有在特殊关照小妍，但是这孩子反而更亲我，不愿意交朋友了,,,,
1078,,,,,,,她喜欢吃甜食，但是被管制得很严格,,,,
1079,,,,,,,是这样的,,,,
1080,,,,,,,,,,,
1081,,,,,,,,,,,
1082,,,,,,,,,,,
1083,,,,,,,,,,,
1084,,,,,,,,,,,
1085,,,,,,,,,,,
1086,,,,,,,,,,,
1087,,,,,,,,,,,
1088,,,,,,,,,,,
1089,,,,,,,,,,,
1090,,,,,,,,,,,
1091,,,,,,,,,,,
1092,,,,,,,,,,,
1093,,,,,,,,,,,
